Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2023-02-05,13,344.123961220188,524.7600214503502,3.0,3,,,,,0.7062193563457028,1.1198655076335677,0.28900399773077756,876,78.5,79.0,78.0,,499980,
2023-02-06,39,1713.0585999589428,2403.339112718132,24.0,24,,,,,0.5032099320786916,1.5298370016924003,0.28900397592466764,3909,,,,,2502062,
2023-02-07,55,1777.036000399597,1997.6744794637411,6.0,6,,,,,0.5562561647292414,1.2593552838211306,0.2601036049668073,3654,,,,,3495956,
2023-02-08,1,1552.0000149011612,42.91714496795863,,,,,,,0.6869175139355912,1.0848310387936235,0.289003989077559,163,,,,,,
2023-02-09,66,1768.063493221966,3417.347694732889,23.0,22,,,,,0.6278743045833947,1.7287852317229777,0.2697370718174298,5742,,,,,3356567,
2023-02-10,26,1629.5974136559653,1388.2079470885415,12.0,12,,,,,0.4286404151814344,1.1872835899728074,0.2793705386680523,2448,,,,,1205483,
2023-02-11,2,1565.0781430142692,126.10614041217178,,,,,,,0.34132674277700714,0.7375972298620471,0.2890039775243436,294,,,,,203170,
2023-02-12,14,1581.5961633747318,594.4738673501114,3.0,3,,,,,0.5247459482784552,1.2529223927838007,0.28900398776226977,1077,,,,,459779,
2023-02-13,56,1751.438527239372,3070.983356140975,23.0,21,,,,,0.6050943385332114,2.114242780978585,0.2504701381161848,5174,,,,,3098296,
2023-02-14,109,1962.5879817161342,5908.226573452108,42.0,42,,,,,0.7685781182957714,2.295831691429254,0.2504701381161848,9877,,,,,6378524,
2023-02-15,47,1737.9179552166042,2667.4834571791835,28.0,28,13.779507637023926,121.06565856933594,13.786558151245117,121.06966400146484,0.5854433985904782,3.8427650928497314,0.2793705386680523,4453,,,,,2888255,
2023-02-16,24,1650.091389240452,1517.2369226099045,20.0,20,,,,,0.8416944286825806,1.3398180020173154,0.2520723824385133,2439,,,,169531,1342916,
2023-02-17,,1555.5125772621204,19.652272375269884,,,,,,,0.6018267092174173,0.6328554865372441,0.5707979318975905,124,,,,,54568,
2023-02-18,27,1659.5731089119215,1945.1408558428645,19.0,13,,,,,0.5365400471710033,2.379822307241362,0.2504701381161848,3093,,,,,1671160,
2023-02-19,14,1616.8561157640615,798.6033329609322,8.0,6,,,,,0.3038154521450576,1.7528046319148693,0.2793705386680523,1321,,,,,1007547,
2023-02-20,38,1707.5704543361944,2129.310527180555,15.0,15,,,,,0.3833097397328268,1.762092988760479,0.2504701381161848,3623,,,,,2416802,
2023-02-21,,1552.0000149011612,,,,,,,,,,,16,,,,,,
2023-02-22,18,1640.576811248637,674.3991907078918,5.0,5,,,,,0.29173306769393414,1.0934740014284983,0.2793705386680523,1266,,,,333308,1020305,
2023-02-23,32,1659.1377981748394,1691.3155297407377,12.0,12,,,,,0.5455727892335371,1.2201303042503278,0.2504701381161848,2942,,,,,1664396,
2023-02-24,47,1750.0804901782187,2638.5744335763243,26.0,22,13.785106658935547,121.07240295410156,13.786917686462402,121.07535552978516,0.45795990529253167,1.9538133793490968,0.1626347955849755,4642,,,,,3077200,
2023-02-25,45,1697.4447811765408,2296.1272975918087,22.0,22,,,,,0.5554880272113766,1.2654201873452806,0.28900397592466764,4140,,,,,2259498,
2023-02-26,148,2101.4847991607635,8989.783733178516,104.0,85,,,,,0.6137607594376879,2.1016037197428195,0.2504701381161848,14320,,,,631184,7862628,
2023-02-27,135,2081.104196195243,6504.810578340243,56.0,56,13.783626556396484,121.0703353881836,13.786906242370605,121.07521057128906,0.6068068155124654,2.1758974917756317,0.08904423134798248,11176,,,,605416,7350072,99510
2023-02-28,14,1602.398600002627,630.8228154862395,,,,,,,0.5403256442476545,1.1037451812421086,0.28900401256486785,1251,,,,,782947,
2023-03-01,62,1784.4701917656544,2776.2045651769035,11.0,11,,,,,0.5026596919502437,1.181621558069095,0.2556687353688938,5103,,,,,3611450,
2023-03-02,36,1677.5256959047106,1719.976684956054,8.0,8,,,,,2.8414829149836027,23.959991455078125,0.2504701381161848,3107,,,,,1950055,
2023-03-03,123,1994.3677153384847,4254.377672646023,43.0,43,,,,,1.008133681824041,9.349520683288574,0.2504701381161848,7494,,,,1511179,5259316,
2023-03-04,17,1644.472398550741,927.066264540854,4.0,4,,,,,0.5089399936956394,1.3104082928657763,0.2504701381161848,1721,,,,,1436568,
2023-03-05,51,1749.3881588339787,2332.6406352122126,10.0,9,,,,,1.0152996593541124,15.714432716369629,0.2716203059386041,4251,,,,,3066445,
2023-03-06,35,1670.1283616140124,2224.094793692427,27.0,18,,,,,1.018272746691972,2.0610975534263627,0.2504701381161848,3388,,,,,1813866,
2023-03-07,81,1820.9626831874943,3850.2251228318114,42.0,42,,,,,2.8154306197732493,28.846208572387695,0.2601036049668073,6253,,,,394558,3757242,
2023-03-08,74,1810.2623756218577,5175.301767557872,38.0,38,13.785457611083984,121.06218719482422,14.2357816696167,121.1500244140625,0.8988147000639644,8.73035219514675,0.2601036049668073,6172,,,,267375,3726756,
2023-03-09,47,1712.7923036158136,2614.985042939611,20.0,20,13.785992622375488,121.06226348876953,13.78988265991211,121.07450866699219,0.5806032813016502,1.1827889962327212,0.27054566867170543,4401,,,,,2497926,
2023-03-10,87,1861.4507759574396,4177.368785084944,30.0,30,,,,,0.42949413518862467,1.260001700917511,0.2504701381161848,7077,,,,,4807349,
2023-03-11,11,1624.7166512108406,619.357636478085,2.0,2,,,,,0.5194077923739966,1.4405632170442486,0.2697370718174298,1386,,,,,1129660,
2023-03-12,83,1880.485044644689,5752.5850953086465,68.0,49,13.781461715698242,121.06608581542969,13.786585807800293,121.07454681396484,0.8877469144177106,2.6317922705351076,0.28900398844833225,8498,,,,,4929254,
2023-03-13,158,2122.9166662425546,9801.324618311564,81.0,81,13.756287574768066,121.05667877197266,13.796551704406738,121.07514953613281,0.679232555083697,4.878552049395205,0.2589307390037873,12770,,,,1234004,7552176,
2023-03-14,30,1649.302512739103,1718.6503602802989,12.0,12,13.786371231079102,121.06952667236328,14.087051391601562,121.1500244140625,0.7818327336488176,2.8600209461746227,0.24840494910414385,2736,,,,,1511604,
2023-03-15,61,1787.2479286909836,2743.224599714955,12.0,12,13.785696029663086,121.06961822509766,14.087060928344727,121.150146484375,1.241291713818605,28.14119529724121,0.12090064387018355,4684,,,,,3654600,
2023-03-16,68,1770.9426336564127,3134.623383537025,20.0,20,13.786517143249512,121.06974792480469,14.084837913513184,121.15023803710938,0.798056074358822,5.97452974319458,0.24286051596648003,5416,,,,,3401297,
2023-03-17,104,1959.2062164000754,5337.583734687071,38.0,37,,,,,0.5439740300296347,1.7809544476520436,0.2504701381161848,8909,,,,,6324312,
2023-03-18,1,1556.3569234080062,103.52819085846504,,,,,,,0.28130437035564393,0.28900398702241964,0.2601036049668073,285,,,,,67685,
2023-03-19,81,1885.0975344085296,5311.102916575879,57.0,53,,,,,0.6990337982094565,1.91010004953444,0.2890039748657823,8346,,,,,5174703,
2023-03-20,113,1998.2880900481302,5159.1519488006425,54.0,54,14.169761657714844,121.13538360595703,14.169761657714844,121.13538360595703,0.5506859554256325,1.4958861657207052,0.2890039794063152,8576,,,,812695,6065726,
2023-03-21,59,1775.8449429118064,3268.63374327479,34.0,34,14.169429779052734,121.1298828125,14.172605514526367,121.13658142089844,0.4802839339890204,1.1908238262312514,0.2601036049668073,5493,,,,,3477453,
2023-03-22,58,1824.2164902983827,3378.1716288867583,33.0,33,14.169950485229492,121.1298828125,14.172626495361328,121.1375961303711,0.7801135365208557,2.2431457356289553,0.2601036049668073,5671,,,,,4228910,
2023-03-23,72,1806.2250285953974,3791.3456585476374,34.0,34,14.170755386352539,121.12989044189453,14.172715187072754,121.13617706298828,0.6521945365707044,1.3646614803695594,0.2568323648870687,6449,,,,,3949412,
2023-03-24,57,1740.4963508966541,2741.7461240259445,16.0,16,14.169380187988281,121.1298828125,14.172597885131836,121.13587951660156,0.6586592642833566,2.091428212883464,0.2601036049668073,4375,,,,,2928310,
2023-03-25,31,1676.3191186136175,1976.1517626470056,21.0,16,,,,,0.6007444982851973,1.7913313314106298,0.2601036049668073,3399,,,,,1931311,
2023-03-26,57,1755.933908947355,3082.0006305070933,26.0,22,,,,,0.6195494424749851,2.0823828746857767,0.2601036049668073,4945,,,,,3168133,
2023-03-27,76,1950.964535917656,3707.549563727184,22.0,22,,,,,0.5765223386800626,1.41422813976346,0.2504701381161848,6769,,,,,6197957,
2023-03-28,3,1559.722013250842,118.13315034017194,,,,,,,0.548971213733974,0.8656621559708091,0.2793705386680523,216,,,,,119962,
